"Kantons_Nr","Kanton_d","Kanton_f","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Text_de","Text_fr"
1,"Zürich","Zurich",36.8,63.2,"Ja-Anteil: 36.8 % <br>Nein-Anteil: 63.2 %","pourcentage de oui: 36.8 % <br>pourcentage de non: 63.2 %"
2,"Bern","Berne",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
3,"Luzern","Lucerne",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
4,"Uri","Uri",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
5,"Schwyz","Schwyz",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
6,"Obwalden","Obwald",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
7,"Nidwalden","Nidwald",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
8,"Glarus","Glaris",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
9,"Zug","Zoug",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
10,"Freiburg","Fribourg",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
11,"Solothurn","Soleure",30.6,69.4,"Ja-Anteil: 30.6 % <br>Nein-Anteil: 69.4 %","pourcentage de oui: 30.6 % <br>pourcentage de non: 69.4 %"
12,"Basel-Stadt","Bâle-Ville",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
13,"Basel-Landschaft","Bâle-Campagne",39.7,60.3,"Ja-Anteil: 39.7 % <br>Nein-Anteil: 60.3 %","pourcentage de oui: 39.7 % <br>pourcentage de non: 60.3 %"
14,"Schaffhausen","Schaffhouse",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
17,"St. Gallen","Saint-Gall",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
18,"Graubünden","Grisons",37.5,62.5,"Ja-Anteil: 37.5 % <br>Nein-Anteil: 62.5 %","pourcentage de oui: 37.5 % <br>pourcentage de non: 62.5 %"
19,"Aargau","Argovie",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
20,"Thurgau","Thurgovie",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
21,"Tessin","Tessin",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
22,"Waadt","Vaud",44.9,55.1,"Ja-Anteil: 44.9 % <br>Nein-Anteil: 55.1 %","pourcentage de oui: 44.9 % <br>pourcentage de non: 55.1 %"
23,"Wallis","Valais",33,67,"Ja-Anteil: 33 % <br>Nein-Anteil: 67 %","pourcentage de oui: 33 % <br>pourcentage de non: 67 %"
24,"Neuenburg","Neuchâtel",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
25,"Genf","Genève",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
26,"Jura","Jura",50,,"Die Resultate von diesem Kanton sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans ce canton."
