"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
6601,19.6940542620743,"Aire-la-Ville GE","Aire-la-Ville (GE)","NA NA","NA NA"
6602,73.8872403560831,"Anières GE","Anières (GE)","NA NA","NA NA"
6603,67.1943415291344,"Avully GE","Avully (GE)","NA NA","NA NA"
6604,57.4664343548222,"Avusy GE","Avusy (GE)","NA NA","NA NA"
6605,62.3302143072744,"Bardonnex GE","Bardonnex (GE)","NA NA","NA NA"
6606,90.177281680893,"Bellevue GE","Bellevue (GE)","NA NA","NA NA"
6607,55.8053067432821,"Bernex GE","Bernex (GE)","NA NA","NA NA"
6608,49.983039348711,"Carouge GE","Carouge (GE)","NA NA","NA NA"
6609,24.8443023060091,"Cartigny GE","Cartigny (GE)","NA NA","NA NA"
6610,23.9421266475077,"Céligny GE","Céligny (GE)","NA NA","NA NA"
6611,89.1157093810894,"Chancy GE","Chancy (GE)","NA NA","NA NA"
6612,50.4338975787444,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","NA NA","NA NA"
6613,39.1893974418246,"Chêne-Bourg GE","Chêne-Bourg (GE)","NA NA","NA NA"
6614,74.838149376283,"Choulex GE","Choulex (GE)","NA NA","NA NA"
6615,17.8235604860011,"Collex-Bossy GE","Collex-Bossy (GE)","NA NA","NA NA"
6616,12.3691722169363,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","NA NA","NA NA"
6617,82.3662916913361,"Cologny GE","Cologny (GE)","NA NA","NA NA"
6618,27.9763060788503,"Confignon GE","Confignon (GE)","NA NA","NA NA"
6619,47.6796407185629,"Corsier GE","Corsier (GE)","NA NA","NA NA"
6620,45.8530538652243,"Dardagny GE","Dardagny (GE)","NA NA","NA NA"
6621,48.974073484969,"Genf GE","Genève (GE)","NA NA","NA NA"
6622,64.4724556489262,"Genthod GE","Genthod (GE)","NA NA","NA NA"
6623,89.065204847086,"Le Grand-Saconnex GE","Le Grand-Saconnex (GE)","NA NA","NA NA"
6624,70.9263392857143,"Gy GE","Gy (GE)","NA NA","NA NA"
6625,25.3976226351917,"Hermance GE","Hermance (GE)","NA NA","NA NA"
6626,63.2700866713516,"Jussy GE","Jussy (GE)","NA NA","NA NA"
6627,96.4558509013138,"Laconnex GE","Laconnex (GE)","NA NA","NA NA"
6628,85.0062806897339,"Lancy GE","Lancy (GE)","NA NA","NA NA"
6629,27.2031983313054,"Meinier GE","Meinier (GE)","NA NA","NA NA"
6630,58.692143825447,"Meyrin GE","Meyrin (GE)","NA NA","NA NA"
6631,80.5035577449371,"Onex GE","Onex (GE)","NA NA","NA NA"
6632,99.8626373626374,"Perly-Certoux GE","Perly-Certoux (GE)","NA NA","NA NA"
6633,67.7697841726619,"Plan-les-Ouates GE","Plan-les-Ouates (GE)","NA NA","NA NA"
6634,47.5859841756822,"Pregny-Chambésy GE","Pregny-Chambésy (GE)","NA NA","NA NA"
6635,30.7197277905171,"Presinge GE","Presinge (GE)","NA NA","NA NA"
6636,96.401028277635,"Puplinge GE","Puplinge (GE)","NA NA","NA NA"
6637,0.989208633093525,"Russin GE","Russin (GE)","NA NA","NA NA"
6638,52.5377643504532,"Satigny GE","Satigny (GE)","NA NA","NA NA"
6639,27.3454424262623,"Soral GE","Soral (GE)","NA NA","NA NA"
6640,27.6822381930185,"Thônex GE","Thônex (GE)","NA NA","NA NA"
6641,7.85355772069678,"Troinex GE","Troinex (GE)","NA NA","NA NA"
6642,83.042735042735,"Vandoeuvres GE","Vandoeuvres (GE)","NA NA","NA NA"
6643,61.4533733792396,"Vernier GE","Vernier (GE)","NA NA","NA NA"
6644,11.9279279279279,"Versoix GE","Versoix (GE)","NA NA","NA NA"
6645,96.2907716785998,"Veyrier GE","Veyrier (GE)","NA NA","NA NA"
